group,level_label,class_label,event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points,1Q (US),2Q (US),3Q (US),4Q (US),5Q (CR),6Q (CR),7Q (CR),8Q (CR),9F (SL),10F (SL),11F (SL),12F (SL),13F (CR),14F (CR),15F (CR),16F (CR),17F (SL),18F (SL),19F (SL),QF,SF,F1,F
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,37,FRA,France,Gaspard Carfantan,FRAGC54,,413,278,5,3,15,19,3,(20),17,(29),21,17,21,17,20,(44),39,(42),39 BFD,17,25,-,-,-,-
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,38,NZL,New Zealand,Elijah Liefting,NZLEL2,,428,286,25,(27),3,27,9,5,(36),13,13,(39) DSQ,9,39 DNC,(40),25,6,35,25,13,39 DNF,-,-,-,-
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,39,SLO,Slovenia,Val Erzen,SLOVE1,,433,293,27,17,(33),9,19,25,(32),12,3,25,25,13,30,31,21,(36),9,27,(39) BFD,-,-,-,-
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,40,POL,Poland,Stas Trepczynski,POLST1,,416,293,15,11,(27),21,11,(24),23,16,25,25,17,21,21,28,30,18,(33),11,(39) DNF,-,-,-,-
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,41,ESP,Spain,Bernat Tomas Cardell,ESPBT4,,470,305,15,11,11,9,(23),13,(41),6,33,13,15,19,46,(53),(48),19,39 DNC,29,27,-,-,-,-
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,42,GBR,Great Britain,Sam Sills,GBRSS56,,470,307,(39) UFD,13,11,5,14,4,(29),8,31,7,31,35,28,(51),29,(44),39 DNF,29,23,-,-,-,-
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,43,DEN,Denmark,Rasmus Blakskjær,DENRB7,,484,311,1,3,21,17,26,(27),12,(43),11,17,39 BFD,29,32,40,(53),(50),11,33,19,-,-,-,-
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,44,FRA,France,Fabien Pianazza,FRAFP29,,462.3,317.3,(29),27,13,21,8,(34),22,25,19,18.3 RDG,17,19,(44),(38),38,37,17,19,17,-,-,-,-
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,45,CHN,"China, PR",Jingye Huang,CHNJH4,,485,320,(19),(31),9,3,18,3,16,9,33,39 BFD,39 BFD,7,52,43,(57),(58) UFD,39 DNF,1,9,-,-,-,-
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,46,CHN,"China, PR",Fuhao Zhang,CHNFZ5,,457,326,13,9,3,13,13,(28),(21),21,27,23,13,15,34,37,(42),(40),39 BFD,27,39 BFD,-,-,-,-
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,47,SUI,Switzerland,Elia Colombo,SUIEC2,,509,335,5,29,23,13,15,(56) DNC,(30),18,27,15,27,21,(43),41,(45),38,39 BFD,17,7,-,-,-,-
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,48,TUR,Türkiye,Artun SENOL,TURAS20,,547,349,13,5,17,7,(40),(47),19,20,31,11,11,31,(55),54,(56),49,39 BFD,21,21,-,-,-,-
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,49,GBR,Great Britain,Boris Shaw,GBRBS59,,507,361,5,(29),15,23,27,8,21,(30),29,27,33,31,(41),26,33,(46),29,31,23,-,-,-,-
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,50,ITA,Italy,Mattia Saoncella,ITAMS191,,573,361,13,5,27,27,21,23,(50),(56) DNC,17,31,11,23,(54),(52),50,48,11,21,33,-,-,-,-
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,51,POL,Poland,Igor Lewinski,POLIL2,,531,362,19,19,25,17,7,(32),19,(32),19,19,23,23,36,(47),47,(58) UFD,39 DNC,19,31,-,-,-,-
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,52,AUS,Australia,Jarrod Jones,AUSJJ22,,575,377,9,19,27,19,(56) UFD,(40),25,16,23,27,25,33,38,(48),(54),45,27,23,21,-,-,-,-
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,53,SUI,Switzerland,Sebastian Scharer,SUISS16,,563,380,11,13,9,23,(41),5,11,(41),25,39 BFD,29,31,(50),42,(51),47,23,33,39 DNC,-,-,-,-
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,54,HKG,"Hong Kong, China",Jason Au,HKGJA2,,556,392,17,11,(29),23,(45),10,27,25,29,33,19,29,31,29,(49),(41),39 BFD,31,39 DNF,-,-,-,-
youth,World Championships,IQFOiL,IQFOiL Men,iQFOiL World Championships,DEN202507Z3C,2026-09-04,2026-09-12," Weymouth and Portland Sailing Academy, Great Britain",https://sailing.org/regatta/iqfoil-world-championships?ref=DEN202507Z3C,55,AUS,Australia,Philip Cripsey,AUSPC55,,572,400,3,13,21,19,25,31,(35),(35),21,35,33,9,49,(50),(52),32,31,39 DNS,39 DNC,-,-,-,-
