group,level_label,class_label,event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points,1Q(US),2Q(US),3Q(US),4Q(US),5Q(SL),6Q(SL),7Q(SL),8F(SL),9F(SL),10F(SL),11F(US),12F(US),13F(US),14F(US),15F(US),16F(SL),17F(SL),QF,SF,F1,F()
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,103,POL,Poland,Karol Nowacki,POLKN9,,197,158,(39) DNC,23,23,29,17,7,15,13,31,-,-,-,-,-,-,-,-,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,104,THA,Thailand,WACHIRAWIT THONUP,THAWT2,,203,164,19,33,15,35,(39) BFD,15,27,13,7,-,-,-,-,-,-,-,-,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,105,ITA,Italy,,,,201,168,(33),21,27,29,19,19,13,15,25,-,-,-,-,-,-,-,-,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,106,POL,Poland,Piotr Grendziak,POLPG19,,193,168,21,19,(25),19,17,25,19,21,27,-,-,-,-,-,-,-,-,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,107,GBR,Great Britain,Charlie Baker,GBRCB137,,209,170,17,35,11,11,21,(39) DNF,39 DNC,7,29,-,-,-,-,-,-,-,-,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,108,POL,Poland,Jakub Beta,POLJB27,,211,172,23,17,13,(39) UFD,25,39 BFD,17,11,27,-,-,-,-,-,-,-,-,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,109,ITA,Italy,Alberto Madinelli,ITAAM304,,195,172,21,21,21,19,17,13,(23),21,39 DNC,-,-,-,-,-,-,-,-,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,110,GER,Germany,,,,205,176,23,(29),17,17,19,17,27,19,37,-,-,-,-,-,-,-,-,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,111,NED,Netherlands,,,,213,182,(31),23,27,29,25,31,27,11,9,-,-,-,-,-,-,-,-,-,-,-,-
youth,Class Youth World Championship,iQFOiL Youth & Junior,iQFOiL Youth & Junior Youth Male,iQFOiL Youth & Junior World Championships,ESP202310DVU,2026-07-03,2026-07-10,"sant Pere Pescador, Spain",https://sailing.org/regatta/iqfoil-youth-and-junior-world-championships?ref=ESP202310DVU,112,IND,India,Aryan  Patidar,INDAP21,,217,186,29,17,25,29,(31),29,29,21,7,-,-,-,-,-,-,-,-,-,-,-,-
