event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points,1Q(CR),2Q(CR),3Q(CR),4Q(CR),5Q(CR),6Q(CR),7Q(CR),8Q(CR),9F(CR),10F(CR),11F(CR),12F(SL),13F(SL),14F(SL),15F(SL),16F(CR),QF,SF,F1,F()
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,11,ITA,Italy,Nicolo Renna,ITANR16,,279.67,114.67,3,(60) RET,5,4,8,(12),7,4,11,18,(60) DNC,1,5,19,(33),29.67 RDG,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,12,ITA,Italy,Luca di Tomassi,ITALD70,,259,122,4,3,3,8,(15),3,(11),11,(51),16,(60) UFD,19,3,15,21,16,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,13,GBR,Great Britain,Andy Brown,GBRAB164,,305,128,6,10,(23),13,7,6,(60) DNC,4,2,20,(60) UFD,27,17,13,3,(34),-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,14,FRA,France,Yun Poulquen,FRAYP14,,317,128,14,(60) DNC,(28),6,7,24,13,13,3,2,(60) UFD,9,5,23,(41) DNC,9,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,15,BRA,Brazil,Mateus Isaac,BRAMI1,,264.4,132.4,16,12,12,6,(21),17,(20),5,6,(31),(60) UFD,7,1,13.2 DPI,17.2 DPI,20 DPI,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,16,CHN,"China, PR",Kun Bi,CHNKB1,,294,137,13,3,12,7,11,(19),(24),12,43,6,(60) UFD,17,3,1,9,(54),-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,17,USA,United States of America,Noah Lyons,USANL20,,301,139,10,16,8,(19),(60) UFD,16,5,17,(42),3,11,11,(41) BFD,13,7,22,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,18,NZL,New Zealand,Elijah Liefting,NZLEL2,,254,141,12,(27),11,(16),6,5,9,8,15,22,16,(33),(37),1,15,21,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,19,ITA,Italy,manolo umberto modena,ITAMM331,,246,144,15,(19),7,(17),3,11,14,7,22,4,14,11,(41) BFD,21,15,(25),-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,20,POL,Poland,Pawel Tarnowski,POLPT4,,295,151,11,9,7,20,(40),23,21,(60) UFD,(24),14,4,13,11,3,15,(20),-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,21,ESP,Spain,Nacho Baltasar Summers,ESPNS15,,325,158,8,1,13,8,(33),1,(19),6,(60) DNC,40,9,11,19,23,19,(55),-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,22,FRA,France,Clement Bourgeois,FRACB67,,281,158,17,14,20,9,10,(21),(23),14,17,11,3,21,(41) BFD,11,11,(38),-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,23,GBR,Great Britain,Duncan Monaghan,GBRDM107,,315,159,(29),4,13,4,6,(19),10,15,20,7,(60) UFD,23,17,17,23,(48),-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,24,NED,Netherlands,Joost Vink,NEDJV76,,288,161,9,(24),9,10,(14),10,14,13,23,13,(60) UFD,1,9,27,23,(29),-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,25,POL,Poland,Stas Trepczynski,POLST1,,316,163,3,16,(22),7,9,2,21,(26),(45),10,(60) UFD,25,21,29,17,3,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,26,ISR,Israel,Tomer Vardimon,ISRTV1,,340,173,5,15,11,(17),(46),15,6,10,18,(55),13,5,7,41 DSQ,27,(49),-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,27,AUS,Australia,Rory Meehan,AUSRM67,,317,175,18,19,(33),(22),22,14,4,6,(41),(46),24,19,7,13,17,12,-,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410DPG,2026-05-16,2026-05-23,"Portimão, Portugal",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410DPG,28,FRA,France,Côme Joly,FRACJ19,,310,186,(20),18,18,12,2,(22),11,8,12,(41),32,27,21,(41) BFD,1,24,-,-,-,-
