event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points,1(SL),2(SL),3(SL),4(SL),5(SL),6(SL),7(CR),8(CR),9(CR),10(CR),11(CR),QF,SF,F
IQFOiL Men,iQFOiL European Championships,ITA202410QKL,2024-10-04,2024-10-11,"Cagliari Poetto Beach, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410QKL,49,FRA,France,Jules Chantrel,FRAJC87,,438,309,47 BFD,23,21,39,23,25,44,47,(70) RET,40,(59),-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410QKL,2024-10-04,2024-10-11,"Cagliari Poetto Beach, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410QKL,50,POL,Poland,Maciej Popłonyk,POLMP76,,459,319,25,23,31,39,15,23,52,54,57,(70) DNC,(70) DNC,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410QKL,2024-10-04,2024-10-11,"Cagliari Poetto Beach, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410QKL,51,ITA,Italy,Francesco Forani,ITAFF107,,438,321,37,27,29,31,11,31,(56),55,44,(61),56,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410QKL,2024-10-04,2024-10-11,"Cagliari Poetto Beach, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410QKL,52,EST,Estonia,Frank Ervin,ESTFE1,,445,327,35,31,33,33,27,27,(61),43,48,(57),50,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410QKL,2024-10-04,2024-10-11,"Cagliari Poetto Beach, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410QKL,53,AUT,Austria,Theo Peter,AUTTP5,,441,329,45,29,43,19,23,27,(60),49,(52),45,49,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410QKL,2024-10-04,2024-10-11,"Cagliari Poetto Beach, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410QKL,54,GER,Germany,Max Koerner,GERMK101,,460,332,43,37,29,29,31,33,29,44,(70) UFD,(58),57,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410QKL,2024-10-04,2024-10-11,"Cagliari Poetto Beach, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410QKL,55,FRA,France,Titouan Fasquelle,FRATF17,,442,333,29,19,35,35,47 BFD,29,45,(58),49,(51),45,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410QKL,2024-10-04,2024-10-11,"Cagliari Poetto Beach, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410QKL,56,ESP,Spain,Santiago Costa Hoevel,ARGSC8,,458,339,33,25,33,41,27,39,(57),(62),50,52,39,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410QKL,2024-10-04,2024-10-11,"Cagliari Poetto Beach, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410QKL,57,ESP,Spain,Guillem Guillem,ESPGG16,,469,343,35,19,23,29,29,47 BFD,(65),(61),55,60,46,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410QKL,2024-10-04,2024-10-11,"Cagliari Poetto Beach, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410QKL,58,POL,Poland,Jacek Piasecki,POLJP8,,452,349,25,27,37,41,41,47 BFD,40,(52),45,46,(51),-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410QKL,2024-10-04,2024-10-11,"Cagliari Poetto Beach, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410QKL,59,ESP,Spain,Aurelio Terry-Valle,ESPAD40,,484,364,39,27,39,37,25,41,53,(59),47,56,(61),-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410QKL,2024-10-04,2024-10-11,"Cagliari Poetto Beach, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410QKL,60,POL,Poland,Tomasz Romanowski,POLTR5,,464,367,39,(47) BFD,47 BFD,33,37,33,47,46,38,(50),47,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410QKL,2024-10-04,2024-10-11,"Cagliari Poetto Beach, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410QKL,61,TUR,Türkiye,Ali Kaan Karatas,TURAK22,,476,368,43,21,39,35,47 DNC,37,51,(53),42,(55),53,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410QKL,2024-10-04,2024-10-11,"Cagliari Poetto Beach, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410QKL,62,ESP,Spain,Alex Marti,ESPAM116,,512,372,27,31,31,35,37,29,63,63,56,(70) DNC,(70) DNC,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410QKL,2024-10-04,2024-10-11,"Cagliari Poetto Beach, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410QKL,63,EST,Estonia,Jakob Tuubel,ESTJT6,,506,382,31,31,43,43,39,23,59,(64),54,59,(60),-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410QKL,2024-10-04,2024-10-11,"Cagliari Poetto Beach, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410QKL,64,GBR,Great Britain,William Ziegler,GBRWZ1,,513,393,31,35,41,37,47 BFD,37,(58),57,53,(62),55,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410QKL,2024-10-04,2024-10-11,"Cagliari Poetto Beach, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410QKL,65,CHN,"China, PR",JINGXING WANG,CHNJW18,,542,402,37,33,35,37,43,25,64,(70) DNC,(70) DNC,65,63,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410QKL,2024-10-04,2024-10-11,"Cagliari Poetto Beach, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410QKL,66,ITA,Italy,Luca Conforti,ITALC125,,566,426,41,35,41,41,35,35,(70) DNC,(70) DNC,70 DNC,64,64,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410QKL,2024-10-04,2024-10-11,"Cagliari Poetto Beach, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410QKL,67,LTU,Lithuania,Vakaris Alksnys,LTUVA5,,586,446,39,39,45,45,47 DNF,45,(70) DNC,(70) DNC,58,63,65,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410QKL,2024-10-04,2024-10-11,"Cagliari Poetto Beach, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410QKL,68,SUI,Switzerland,Gilbert Chopard,SUIGC7,,628,488,47 DNC,47 DNC,47 BFD,43,47 DNF,47 DNC,(70) DNC,(70) DNC,70 DNC,70 DNC,70 DNC,-,-,-
IQFOiL Men,iQFOiL European Championships,ITA202410QKL,2024-10-04,2024-10-11,"Cagliari Poetto Beach, Italy",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202410QKL,69,EST,Estonia,Aksel Haava,ESTAH6,,632,492,47 DNC,47 DNC,47 DNC,47 DNC,47 DNC,47 DNC,(70) DNC,(70) DNC,70 DNC,70 DNC,70 DNC,-,-,-
