event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points,R1 ,R2 ,R3 ,R4 ,R5 ,R6 ,R7 ,R8 ,R9 Gold,R10 Gold,R11 Gold,R12 Gold,R13 Gold,R14 Gold,R15 Gold,R16 Gold,F1 Medal,F2 Medal
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,46,AUS,Australia,Kurt Hansen / Charles Zeeman,AUSZZ1 / AUSKH10,AUS 105,210,185,18,23,13,14,11,(25),19,10,25,1,11,15,25,-,-,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,47,GER,Germany,Lucas Hamm / Moritz Hamm,GERMH114 / GERLH49,GER 240,208,185,14,22,15,(23),19,18,9,11,13,2,18,22,22,-,-,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,48,GER,Germany,Kjell Haschen / Iven Fromm,GERKH47 / GERIF2,GER 182,224,195,10,17,10,20,4,12,(29),7,28,26,20,18,23,-,-,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,49,NZL,New Zealand,Francesco Kayrouz / Hamish Mclaren,NZLFK1 / NZLHM10,NZL 135,224,196,15,9,22,5,22,16,20,21,5,21,23,(28),17,-,-,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,50,ESP,Spain,Pol Marsans Balcells / Alex Marsans,ESPAM109 / ESPPM34,ESP 424,226,197,9,8,26,22,1,20,6,19,(29),18,27,25,16,-,-,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,51,DEN,Denmark,Carl Emil Sloth / Nikolaj Hoffmann Buhl,DENNH5 / DENCS21,DEN 515,232,200,6,(32) DSQ,7,32 DNF,6,5,11,14,32,30,26,17,14,-,-,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,52,HUN,Hungary,Roni Oszkar Szabo,HUNRS9,HUN 373,236,202,19,19,18,11,23,17,6,25,11,10,28,(34),15,-,-,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,53,DEN,Denmark,Casper Fink / Frederik Bløcher,DENCF10 / DENFB6,DEN 708,235,202,24,17,11,10,14,24,11,21,16,31,12,11,(33),-,-,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,54,FRA,France,Keo Devaux / Youenn Bertin,FRAKD9 / FRAYB10,FRA 270,244,212,14,6,(32) DNF,11,9,32 DNC,23,9,23,27,15,19,24,-,-,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,55,GBR,Great Britain,Charlie Gran / Ewan Gribbin,GBREG16 / GBRCG59,GBR 145,246,216,12,18,16,14,10,9,20,23,18,28,(30),27,21,-,-,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,56,FIN,Finland,Aatos Kylävainio / Onni Kylävainio,FINAK18 / FINOK8,FIN 100,248,216,(32) DNC,14,11,8,12,18,24,2,24,23,21,30,29,-,-,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,57,ISR,Israel,Illy Wureit / Yuval Barnoon,ISRYB11 / ISRIW2,ISR 125,248,217,21,9,10,17,8,23,13,(31),30,17,29,12,28,-,-,-,-,-
49er Men,"49er, 49erFX and Nacra 17 European Championships",GRE202506DKJ,2026-07-07,2026-07-12,"Eckernforde, Baltic Sea, Germany",https://sailing.org/regatta/49er-49erfx-and-nacra-17-european-championships?ref=GRE202506DKJ,58,AIN,Individual Neutral Athletes,Mikhail Ushkov / Leonid Pushev,AINXLP1 / AINXMU1,AIN 719,262,228,20,26,9,18,12,16,21,4,17,20,(34),33,32,-,-,-,-,-
