series_label,event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points,1P ,2P ,3P ,4P ,5P 
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,93,ITA,Italy,Manuel Scacciati,ITAMS249,ITA 228192,220,162,40,39,(58),46,37
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,94,LUX,Luxembourg,Gabriel Medeiros Königsfeld,BRAGS16,LUX 202039,224,164,(60) BFD,31,44,42,47
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,95,POL,Poland,Maciej Dudek,POLMD23,POL 226036,227,166,43,36,26,(61) DNC,61 DNE
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,96,AUS,Australia,Hamish Gilsenan,AUSHG6,AUS 216366,229,168,39,44,(61) DNC,34,51 STP
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,97,GER,Germany,Tom Struve,GERTS98,GER 217085,228,174,39,41,50,(54),44
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,98,BRA,Brazil,Stefano Siebert Francavilla,BRASS11,BRA 226502,229,175,42,(54),36,46,51
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,99,FIN,Finland,Vilho Mykkänen,FINVM11,FIN 224469,236,176,33,35 STP,48 STP,(60) DNC,60 DNE
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,100,EST,Estonia,Karel Ratnik,ESTKR8,EST 218430,238,178,(60) BFD,60 BFD,43,47,28
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,101,CAN,Canada,LOUIS HUPE,FRALH16,CAN 227465,232,178,(54),48,52,39,39
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,102,AUS,Australia,Xavier Bates,AUSXB2,AUS 217271,240,180,51,51,(60) STP,34,44
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,103,CZE,Czechia,Jan Belik,CZEJB6,CZE 221634,237,181,53,47,45,(56) STP,36
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,104,CZE,Czechia,Federico  Falc,CZEFF2,CZE 216804,245,185,(60) BFD,48,49,53 STP,35
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,105,GER,Germany,Sebastian Rode,GERSR44,GER 223706,239,185,44,51,42,48,(54)
Kieler Woche,ILCA 7 Men,Kieler Woche,GER202506ET2,2026-06-20,2026-06-28,"Kiel-Schilksee, Germany",https://sailing.org/regatta/kieler-woche?ref=GER202506ET2,106,FRA,France,Mathis GAMIN,FRAMG97,FRA 223809,242,187,(55),42,48,50,47 STP
